id_dokter;id_spesialis_dokter;nama_dokter;address;email;phone
1;1;Dr. John Smith;123 Main Street;john.smith@email.com;123-456-7890
2;2;Dr. Jane Doe;456 Oak Avenue;jane.doe@email.com;987-654-3210
3;3;Dr. Robert Johnson;789 Pine Lane;robert.johnson@email.com;555-123-4567
4;4;Dr. Alice Brown;101 Cedar Road;alice.brown@email.com;111-222-3333
5;5;Dr. Charlie Wilson;202 Elm Street;charlie.wilson@email.com;444-555-6666
6;6;Dr. Diana Miller;303 Birch Boulevard;diana.miller@email.com;777-888-9999
7;7;Dr. Evan Davis;404 Maple Drive;evan.davis@email.com;999-888-7777
8;8;Dr. Fiona White;505 Walnut Circle;fiona.white@email.com;666-555-4444
9;9;Dr. George Lee;606 Pineapple Avenue;george.lee@email.com;222-333-4444
10;10;Dr. Helen Taylor;707 Strawberry Lane;helen.taylor@email.com;888-777-6666
